,S,I,SS,II,F,TH
0,73,77,13,10,16,16
1,82,83,22,16,24,21
2,76,81,17,11,19,18
3,81,90,19,15,18,17
4,82,83,13,11,13,18
5,77,77,19,13,18,18
6,81,83,16,15,14,16
7,60,69,13,12,13,21
8,68,70,16,11,16,17
9,71,72,17,13,20,16
10,78,78,15,11,14,12
11,77,76,13,9,16,13
12,76,78,20,15,21,19
13,85,72,23,14,19,18
14,74,74,19,10,17,17
15,79,72,12,16,23,15
16,74,80,16,13,15,19
17,75,64,17,13,21,16
18,69,69,18,15,15,16
19,85,87,14,12,22,16
20,72,80,19,12,16,18
21,61,68,16,8,13,13
22,63,74,17,13,14,16
23,73,77,16,14,21,18
24,82,78,18,14,15,13
25,78,75,17,13,19,16
26,72,75,14,16,18,14
27,73,77,13,15,19,16
28,64,66,17,17,17,15
29,82,79,19,9,20,16
30,71,65,12,13,15,16
31,92,78,15,12,16,10
32,72,68,19,13,19,57
33,76,76,19,16,18,19
34,80,81,18,14,16,17
35,65,66,22,18,23,17
36,71,69,15,15,20,17
37,72,85,21,13,17,12
38,71,78,13,10,16,16
39,82,83,22,16,24,21
40,76,81,17,11,19,18
41,81,90,19,15,18,17
42,82,83,13,11,13,18
43,77,77,19,13,18,18
44,81,83,16,15,14,16
45,60,69,13,12,13,21
46,68,70,16,11,16,17
47,71,72,17,13,20,16
48,78,78,15,11,14,12
49,77,76,13,9,16,13
50,76,78,20,15,21,19
51,85,72,23,14,19,18
52,74,74,19,10,17,17
53,79,72,12,16,23,15
54,74,80,16,13,15,19
55,75,64,17,13,21,16
56,69,69,18,15,15,16
57,85,87,14,12,22,16
58,72,80,19,12,16,18
59,61,68,16,8,13,13
60,63,74,17,13,14,16
61,73,77,16,14,21,18
62,82,78,18,14,15,13
63,78,75,17,13,19,16
64,72,75,14,16,18,14
65,73,77,13,15,19,16
66,64,66,17,17,17,15
67,82,79,19,9,20,16
68,71,64,12,13,15,16
69,92,78,15,12,16,10
70,72,68,19,13,19,57
71,76,76,19,16,18,19
72,80,81,18,14,16,17
73,65,66,22,18,23,17
74,71,69,15,15,20,17
75,72,85,21,13,17,12
76,71,75,21,16,22,17
77,83,87,18,11,16,17
78,95,92,22,16,17,15
79,79,73,12,10,15,15
80,82,91,19,16,21,23
81,82,83,22,16,24,21
82,76,81,17,11,19,18
83,81,90,19,15,18,17
84,82,83,13,11,13,18
85,77,77,19,13,18,18
86,81,83,16,15,14,16
87,60,69,13,12,13,21
88,68,70,16,11,16,17
89,71,72,17,13,20,16
90,78,78,15,11,14,12
91,77,76,13,9,16,13
92,76,78,20,15,21,19
93,85,72,23,14,19,18
94,74,74,19,10,17,17
95,62,67,13,13,14,15
96,58,68,17,13,16,17
97,70,71,13,13,14,15
98,71,78,20,14,20,19
99,71,76,17,12,15,16
100,72,80,21,17,20,22
101,77,76,22,16,20,20
102,74,78,17,16,20,21
103,73,70,18,15,15,16
104,75,78,20,17,21,21
105,75,76,20,16,19,20
106,80,80,21,18,20,22
107,82,83,13,11,13,18
108,77,77,19,13,18,18
109,81,83,16,15,14,16
110,60,69,13,12,13,21
111,68,70,16,11,16,17
112,71,72,17,13,20,16
113,78,78,15,11,14,12
114,71,75,21,16,22,17
115,83,87,18,11,16,17
116,95,92,22,16,17,15
117,79,73,12,10,15,15
118,82,91,19,16,21,23
119,82,83,22,16,24,21
120,76,81,17,11,19,18
121,81,90,19,15,18,17
122,82,83,13,11,13,18
123,77,77,19,13,18,18
124,81,83,16,15,14,16
125,60,69,13,12,13,21
126,68,70,16,11,16,17
127,71,72,17,13,20,16
128,78,78,15,11,14,12
129,77,76,13,9,16,13
130,76,78,20,15,21,19
131,85,72,23,14,19,18
132,74,74,19,10,17,17
133,62,67,13,13,14,15
134,58,68,17,13,16,17
135,70,71,13,13,14,15
136,71,78,20,14,20,19
137,71,76,17,12,15,16
138,72,80,21,17,20,22
139,77,76,22,16,20,20
140,74,78,17,16,20,21
141,73,70,18,15,15,16
142,75,78,20,17,21,21
143,75,76,20,16,19,20
144,80,80,21,18,20,22
145,82,83,13,11,13,18
146,77,77,19,13,18,18
147,81,83,16,15,14,16
148,60,69,13,12,13,21
149,68,70,16,11,16,17
150,71,72,17,13,20,16
151,78,78,15,11,14,12
152,85,87,14,12,22,16
153,72,80,19,12,16,18
154,61,68,16,8,13,13
155,63,74,17,13,14,16
156,73,77,16,14,21,18
157,82,78,18,14,15,13
158,78,75,17,13,19,16
159,72,75,14,16,18,14
160,73,77,13,15,19,16
161,64,66,17,17,17,15
162,82,79,19,9,20,16
163,71,62,12,13,15,16
164,92,78,15,12,16,10
165,72,68,19,13,19,18
166,76,76,19,16,18,19
167,80,81,18,14,16,17
168,65,66,22,18,23,17
169,71,69,15,15,20,17
170,72,85,21,13,17,12
171,60,66,17,17,17,15
172,82,79,19,9,20,16
173,71,65,12,13,15,16
174,92,78,15,12,16,10
175,72,68,19,13,19,18
176,76,76,19,16,18,19
177,80,81,18,14,16,17
178,65,66,22,18,23,17
179,71,69,15,15,20,17
180,72,85,21,13,17,12
181,75,75,21,16,22,17
182,75,78,20,17,21,21
183,75,76,20,16,19,20
184,80,80,21,18,20,22
185,82,83,13,11,13,18
186,77,77,19,13,18,18
187,81,83,16,15,14,16
188,60,69,13,12,13,21
189,68,70,16,11,16,17
